S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %
120.,GMR Airports,83.49,,88156.88,0.00,-252.66,-61.54,2863.34,17.02,6.89
121.,Hitachi Energy,19635.00,227.95,87517.85,0.02,183.89,61.79,1883.68,11.11,19.12
122.,Suzlon Energy,64.33,42.23,87392.34,0.00,1180.98,320.40,3789.94,72.57,32.41
123.,H P C L,407.90,12.85,86793.87,5.18,3415.44,26.06,109632.80,-4.40,10.51
124.,Hero Motocorp,4299.85,19.65,86003.75,3.79,1168.75,24.21,9969.81,3.67,31.15
125.,Dixon Technolog.,14139.70,110.40,85513.67,0.03,464.95,138.10,10292.54,120.97,39.81
,Median: 501 Co.,894.4,42.09,31615.32,0.45,211.0,14.87,2060.64,10.6,15.99
126.,NHPC Ltd,84.91,28.37,85292.33,2.20,919.63,56.95,2346.97,24.38,7.39
127.,Dabur India,480.40,48.96,85208.11,1.67,312.73,-8.35,2830.14,0.55,20.32
128.,PB Fintech.,1837.80,267.46,84402.27,0.00,170.66,183.47,1507.87,38.39,5.90
129.,Waaree Energies,2937.70,45.12,84395.17,0.00,644.46,129.68,4003.93,36.38,35.12
130.,Indian Bank,620.30,7.38,83552.12,2.61,2982.03,29.88,15859.63,8.38,6.38
131.,Rail Vikas,399.10,64.95,83213.06,0.53,459.12,-4.03,6426.88,-4.28,14.71
132.,Oracle Fin.Serv.,9175.00,33.57,79727.98,2.85,643.90,14.96,1716.30,4.50,40.61
133.,Lloyds Metals,1522.55,54.95,79666.21,0.07,202.47,-26.92,1193.30,-23.23,38.33
134.,Vodafone Idea,7.11,,77031.89,0.00,-7166.10,6.63,11013.50,3.83,-1.87
135.,Prestige Estates,1748.45,161.07,75311.11,0.10,43.10,-82.14,1528.40,-29.37,7.69
136.,Torrent Power,1460.50,24.70,73595.12,1.30,1077.22,146.27,6456.34,-1.11,16.76
137.,I O B,38.18,22.03,73521.71,0.00,1051.07,30.07,7633.59,15.16,5.95
138.,Godrej Propert.,2405.00,52.07,72434.98,0.00,378.44,-19.70,2121.73,48.78,7.41
139.,Oberoi Realty,1988.90,33.31,72316.91,0.40,433.17,-45.03,1150.14,-12.52,17.73
